Hips,Spine1,Head,LeftUpperArm,LeftForeArm,LeftHand,LeftShoulder,RightUpperArm,RightForeArm,RightHand,RightShoulder,LeftUpLeg,LeftLeg,LeftFoot,RightUpLeg,RightLeg,RightFoot
"(0.02688, 0.07393, -0.01414, 0.99426)","(0.02905, 0.01918, -0.07214, 0.99424)","(-0.35099, 0.05592, 0.00555, 0.93469)","(-0.10820, 0.60081, -0.36173, 0.69978)","(-0.27817, 0.71698, -0.37630, 0.50703)","(0.50212, -0.80966, -0.09952, -0.27658)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00174, -0.63004, -0.31868, 0.70338)","(-0.46505, -0.82752, -0.07899, 0.29478)","(-0.45721, -0.80115, -0.33867, 0.16862)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00222, 0.06042, -0.02793, 0.99524)","(0.00426, 0.09308, -0.02096, 0.99288)","(-0.00094, 0.07170, -0.02734, 0.99451)","(0.00235, 0.09192, 0.01739, 0.99306)","(-0.02962, -0.24568, 0.01298, 0.96615)","(-0.00265, 0.04236, -0.03183, 0.99606)",
"(0.02937, 0.07409, -0.01432, 0.99417)","(0.03274, 0.01876, -0.07235, 0.99412)","(-0.34944, 0.05211, 0.00268, 0.93550)","(-0.10756, 0.60046, -0.36131, 0.70040)","(-0.27754, 0.71717, -0.37595, 0.50738)","(0.50164, -0.80966, -0.09971, -0.27739)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00224, -0.63005, -0.31854, 0.70343)","(-0.46407, -0.82789, -0.07967, 0.29510)","(-0.45712, -0.80078, -0.33942, 0.16911)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00167, 0.05851, -0.02852, 0.99534)","(0.00308, 0.09282, -0.02117, 0.99291)","(-0.00107, 0.07175, -0.02730, 0.99451)","(0.00260, 0.09235, 0.01774, 0.99302)","(-0.03045, -0.24611, 0.01334, 0.96600)","(-0.00269, 0.04227, -0.03188, 0.99606)",
"(0.03178, 0.07413, -0.01450, 0.99409)","(0.03691, 0.01813, -0.07238, 0.99399)","(-0.34881, 0.05215, 0.00332, 0.93574)","(-0.10716, 0.60007, -0.36120, 0.70085)","(-0.27699, 0.71698, -0.37636, 0.50765)","(0.50126, -0.80966, -0.09947, -0.27818)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00301, -0.63036, -0.31766, 0.70354)","(-0.46319, -0.82840, -0.07936, 0.29513)","(-0.45656, -0.80081, -0.34015, 0.16902)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00135, 0.05846, -0.02846, 0.99535)","(0.00244, 0.09302, -0.02119, 0.99289)","(-0.00106, 0.07178, -0.02726, 0.99451)","(0.00303, 0.09203, 0.01785, 0.99305)","(-0.03110, -0.24655, 0.01344, 0.96587)","(-0.00269, 0.04223, -0.03191, 0.99606)",
"(0.03389, 0.07414, -0.01494, 0.99402)","(0.04148, 0.01714, -0.07256, 0.99381)","(-0.34922, 0.05183, 0.00161, 0.93561)","(-0.10617, 0.59932, -0.36083, 0.70184)","(-0.27670, 0.71712, -0.37613, 0.50778)","(0.50187, -0.80930, -0.09955, -0.27808)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00471, -0.63084, -0.31724, 0.70330)","(-0.46306, -0.82861, -0.07988, 0.29460)","(-0.45584, -0.80107, -0.34078, 0.16851)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00146, 0.05908, -0.02841, 0.99531)","(0.00220, 0.09329, -0.02102, 0.99287)","(-0.00084, 0.07180, -0.02724, 0.99451)","(0.00349, 0.09189, 0.01770, 0.99306)","(-0.03175, -0.24679, 0.01346, 0.96579)","(-0.00244, 0.04219, -0.03192, 0.99606)",
"(0.03618, 0.07424, -0.01543, 0.99392)","(0.04598, 0.01606, -0.07277, 0.99361)","(-0.34854, 0.05159, 0.00248, 0.93587)","(-0.10577, 0.59915, -0.36075, 0.70209)","(-0.27666, 0.71712, -0.37600, 0.50789)","(0.50231, -0.80902, -0.09950, -0.27810)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00526, -0.63094, -0.31716, 0.70324)","(-0.46302, -0.82864, -0.08011, 0.29453)","(-0.45539, -0.80119, -0.34106, 0.16858)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00176, 0.05907, -0.02839, 0.99531)","(0.00197, 0.09313, -0.02096, 0.99288)","(-0.00058, 0.07182, -0.02725, 0.99450)","(0.00392, 0.09275, 0.01762, 0.99298)","(-0.03226, -0.24651, 0.01350, 0.96584)","(-0.00220, 0.04216, -0.03193, 0.99606)",
"(0.03970, 0.07417, -0.01608, 0.99378)","(0.05191, 0.01460, -0.07316, 0.99332)","(-0.34743, 0.05466, 0.00335, 0.93610)","(-0.10410, 0.59812, -0.36005, 0.70358)","(-0.27501, 0.71676, -0.37626, 0.50914)","(0.50278, -0.80836, -0.09875, -0.27944)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00723, -0.63146, -0.31580, 0.70336)","(-0.46129, -0.82930, -0.08065, 0.29524)","(-0.45436, -0.80145, -0.34167, 0.16888)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00202, 0.05814, -0.02859, 0.99536)","(0.00160, 0.09304, -0.02113, 0.99289)","(-0.00045, 0.07185, -0.02723, 0.99450)","(0.00440, 0.09361, 0.01795, 0.99289)","(-0.03312, -0.24619, 0.01387, 0.96589)","(-0.00213, 0.04215, -0.03194, 0.99606)",
"(0.04307, 0.07390, -0.01655, 0.99365)","(0.05824, 0.01355, -0.07366, 0.99294)","(-0.34544, 0.05379, 0.00288, 0.93690)","(-0.10319, 0.59754, -0.35982, 0.70434)","(-0.27458, 0.71685, -0.37621, 0.50929)","(0.50313, -0.80800, -0.09793, -0.28013)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00791, -0.63189, -0.31470, 0.70347)","(-0.46032, -0.82961, -0.08154, 0.29566)","(-0.45380, -0.80146, -0.34205, 0.16959)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00231, 0.05736, -0.02907, 0.99539)","(0.00126, 0.09322, -0.02110, 0.99287)","(-0.00043, 0.07192, -0.02716, 0.99450)","(0.00471, 0.09356, 0.01806, 0.99289)","(-0.03374, -0.24646, 0.01423, 0.96579)","(-0.00208, 0.04214, -0.03194, 0.99606)",
"(0.04700, 0.07340, -0.01717, 0.99350)","(0.06299, 0.01266, -0.07407, 0.99263)","(-0.34834, 0.05318, 0.00088, 0.93586)","(-0.10201, 0.59710, -0.35926, 0.70517)","(-0.27443, 0.71672, -0.37615, 0.50960)","(0.50332, -0.80798, -0.09774, -0.27993)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00913, -0.63247, -0.31323, 0.70359)","(-0.45913, -0.82997, -0.08213, 0.29631)","(-0.45367, -0.80123, -0.34221, 0.17066)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00244, 0.05690, -0.02923, 0.99541)","(0.00072, 0.09323, -0.02139, 0.99287)","(-0.00041, 0.07199, -0.02710, 0.99450)","(0.00529, 0.09361, 0.01818, 0.99288)","(-0.03354, -0.24767, 0.01337, 0.96550)","(-0.00190, 0.04212, -0.03195, 0.99607)",
"(0.05147, 0.07270, -0.01769, 0.99332)","(0.06629, 0.01206, -0.07449, 0.99239)","(-0.34652, 0.05276, 0.00052, 0.93656)","(-0.10094, 0.59663, -0.35872, 0.70600)","(-0.27382, 0.71681, -0.37637, 0.50965)","(0.50426, -0.80782, -0.09765, -0.27872)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.01009, -0.63273, -0.31246, 0.70368)","(-0.45805, -0.83029, -0.08205, 0.29712)","(-0.45314, -0.80109, -0.34276, 0.17165)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00252, 0.05637, -0.02933, 0.99544)","(-0.00009, 0.09312, -0.02186, 0.99287)","(-0.00039, 0.07210, -0.02703, 0.99449)","(0.00570, 0.09294, 0.01824, 0.99294)","(-0.03190, -0.25036, 0.01015, 0.96490)","(-0.00165, 0.04209, -0.03196, 0.99607)",
"(0.05858, 0.07301, -0.01882, 0.99288)","(0.07870, 0.00981, -0.07526, 0.99145)","(-0.34558, 0.05362, -0.00029, 0.93686)","(-0.09899, 0.59566, -0.35826, 0.70734)","(-0.27365, 0.71757, -0.37599, 0.50893)","(0.50447, -0.80782, -0.09716, -0.27851)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.01193, -0.63276, -0.31224, 0.70373)","(-0.45760, -0.83017, -0.08394, 0.29762)","(-0.45236, -0.80084, -0.34413, 0.17214)","(0.00000, 0.04173, 0.00000, 0.99913)","(0.00244, 0.05549, -0.02977, 0.99548)","(-0.00178, 0.09330, -0.02261, 0.99283)","(-0.00028, 0.07226, -0.02690, 0.99448)","(0.00656, 0.09338, 0.01831, 0.99289)","(-0.02978, -0.25425, 0.00542, 0.96399)","(-0.00121, 0.04203, -0.03198, 0.99607)",
