Hips,Spine1,Head,LeftUpperArm,LeftForeArm,LeftHand,LeftShoulder,RightUpperArm,RightForeArm,RightHand,RightShoulder,LeftUpLeg,LeftLeg,LeftFoot,RightUpLeg,RightLeg,RightFoot
"(0.03405, 0.03480, -0.01719, 0.99613)","(0.09526, -0.04643, -0.06533, 0.98966)","(-0.24443, 0.02081, 0.00407, 0.96944)","(-0.06538, 0.65315, -0.10161, 0.74324)","(-0.29276, 0.80106, -0.10385, 0.50178)","(0.49614, -0.72225, -0.43723, -0.18562)","(0.00000, 0.01982, 0.00000, 0.99980)","(0.14393, -0.65186, -0.38784, 0.62957)","(-0.24996, -0.82641, -0.28629, 0.40840)","(-0.34681, -0.71800, -0.50034, 0.32748)","(0.00000, 0.01982, 0.00000, 0.99980)","(-0.01970, 0.14428, -0.02707, 0.98639)","(-0.02118, 0.24986, -0.03292, 0.96482)","(-0.00631, 0.11862, -0.02116, 0.99013)","(-0.00507, 0.14237, 0.01750, 0.98707)","(-0.02121, 0.18010, 0.02475, 0.98051)","(0.00698, -0.10328, -0.01650, 0.99194)",
"(0.03394, 0.03492, -0.01718, 0.99613)","(0.09537, -0.04637, -0.06524, 0.98966)","(-0.24327, 0.02192, 0.00264, 0.96971)","(-0.06538, 0.65312, -0.10156, 0.74327)","(-0.29303, 0.80092, -0.10363, 0.50189)","(0.49623, -0.72224, -0.43736, -0.18514)","(0.00000, 0.01982, 0.00000, 0.99980)","(0.14432, -0.65185, -0.38742, 0.62974)","(-0.25018, -0.82633, -0.28644, 0.40832)","(-0.34684, -0.71812, -0.49993, 0.32783)","(0.00000, 0.01982, 0.00000, 0.99980)","(-0.01973, 0.14422, -0.02712, 0.98640)","(-0.02109, 0.24987, -0.03279, 0.96482)","(-0.00629, 0.11866, -0.02116, 0.99013)","(-0.00495, 0.14259, 0.01752, 0.98704)","(-0.02117, 0.18024, 0.02465, 0.98048)","(0.00697, -0.10336, -0.01652, 0.99193)",
"(0.03382, 0.03502, -0.01719, 0.99613)","(0.09533, -0.04646, -0.06533, 0.98965)","(-0.24089, 0.02602, 0.00284, 0.97020)","(-0.06513, 0.65307, -0.10154, 0.74334)","(-0.29290, 0.80075, -0.10345, 0.50230)","(0.49626, -0.72203, -0.43759, -0.18528)","(0.00000, 0.01982, 0.00000, 0.99980)","(0.14386, -0.65181, -0.38792, 0.62958)","(-0.25010, -0.82628, -0.28649, 0.40843)","(-0.34717, -0.71785, -0.49992, 0.32807)","(0.00000, 0.01982, 0.00000, 0.99980)","(-0.01985, 0.14443, -0.02700, 0.98637)","(-0.02133, 0.25000, -0.03280, 0.96478)","(-0.00628, 0.11873, -0.02117, 0.99012)","(-0.00525, 0.14334, 0.01765, 0.98693)","(-0.02147, 0.18085, 0.02487, 0.98036)","(0.00696, -0.10348, -0.01655, 0.99192)",
"(0.03364, 0.03502, -0.01715, 0.99614)","(0.09520, -0.04647, -0.06544, 0.98966)","(-0.22833, 0.02519, 0.00029, 0.97326)","(-0.06521, 0.65295, -0.10174, 0.74341)","(-0.29285, 0.80072, -0.10370, 0.50232)","(0.49630, -0.72197, -0.43755, -0.18550)","(0.00000, 0.01982, 0.00000, 0.99980)","(0.14416, -0.65177, -0.38746, 0.62984)","(-0.25009, -0.82641, -0.28655, 0.40814)","(-0.34720, -0.71790, -0.50012, 0.32763)","(0.00000, 0.01982, 0.00000, 0.99980)","(-0.01987, 0.14470, -0.02708, 0.98633)","(-0.02146, 0.25023, -0.03282, 0.96472)","(-0.00627, 0.11876, -0.02115, 0.99012)","(-0.00557, 0.14305, 0.01770, 0.98697)","(-0.02164, 0.18072, 0.02491, 0.98038)","(0.00695, -0.10356, -0.01657, 0.99191)",
"(0.03338, 0.03489, -0.01711, 0.99615)","(0.09514, -0.04649, -0.06547, 0.98966)","(-0.22909, 0.02444, -0.00027, 0.97310)","(-0.06542, 0.65275, -0.10196, 0.74353)","(-0.29296, 0.80070, -0.10400, 0.50222)","(0.49621, -0.72215, -0.43734, -0.18555)","(0.00000, 0.01982, 0.00000, 0.99980)","(0.14463, -0.65185, -0.38693, 0.62997)","(-0.25023, -0.82656, -0.28631, 0.40791)","(-0.34733, -0.71799, -0.50001, 0.32745)","(0.00000, 0.01982, 0.00000, 0.99980)","(-0.01984, 0.14454, -0.02712, 0.98635)","(-0.02143, 0.25027, -0.03282, 0.96471)","(-0.00625, 0.11877, -0.02109, 0.99012)","(-0.00569, 0.14268, 0.01766, 0.98702)","(-0.02166, 0.18068, 0.02487, 0.98039)","(0.00694, -0.10359, -0.01656, 0.99191)",
"(0.03319, 0.03474, -0.01714, 0.99616)","(0.09510, -0.04650, -0.06554, 0.98966)","(-0.23007, 0.02095, -0.00243, 0.97294)","(-0.06489, 0.65274, -0.10238, 0.74353)","(-0.29301, 0.80069, -0.10423, 0.50217)","(0.49606, -0.72235, -0.43724, -0.18541)","(0.00000, 0.01982, 0.00000, 0.99980)","(0.14454, -0.65201, -0.38726, 0.62963)","(-0.25047, -0.82652, -0.28659, 0.40765)","(-0.34748, -0.71806, -0.49987, 0.32736)","(0.00000, 0.01982, 0.00000, 0.99980)","(-0.01991, 0.14426, -0.02715, 0.98639)","(-0.02159, 0.25015, -0.03281, 0.96474)","(-0.00624, 0.11881, -0.02110, 0.99011)","(-0.00558, 0.14264, 0.01760, 0.98703)","(-0.02169, 0.18071, 0.02486, 0.98038)","(0.00694, -0.10361, -0.01655, 0.99190)",
"(0.03301, 0.03469, -0.01720, 0.99617)","(0.09511, -0.04652, -0.06565, 0.98965)","(-0.22916, 0.02195, -0.00175, 0.97314)","(-0.06483, 0.65270, -0.10238, 0.74357)","(-0.29285, 0.80080, -0.10425, 0.50207)","(0.49584, -0.72264, -0.43706, -0.18530)","(0.00000, 0.01982, 0.00000, 0.99980)","(0.14416, -0.65218, -0.38771, 0.62926)","(-0.25035, -0.82662, -0.28655, 0.40756)","(-0.34775, -0.71797, -0.49975, 0.32744)","(0.00000, 0.01982, 0.00000, 0.99980)","(-0.02009, 0.14421, -0.02707, 0.98640)","(-0.02185, 0.25025, -0.03285, 0.96470)","(-0.00623, 0.11887, -0.02111, 0.99011)","(-0.00578, 0.14286, 0.01772, 0.98699)","(-0.02181, 0.18090, 0.02494, 0.98034)","(0.00693, -0.10363, -0.01654, 0.99190)",
"(0.03276, 0.03468, -0.01722, 0.99618)","(0.09517, -0.04663, -0.06572, 0.98963)","(-0.23151, 0.02154, 0.00130, 0.97259)","(-0.06471, 0.65264, -0.10261, 0.74361)","(-0.29257, 0.80086, -0.10431, 0.50213)","(0.49553, -0.72283, -0.43696, -0.18566)","(0.00000, 0.01982, 0.00000, 0.99980)","(0.14480, -0.65197, -0.38687, 0.62986)","(-0.25015, -0.82677, -0.28650, 0.40740)","(-0.34793, -0.71791, -0.49978, 0.32735)","(0.00000, 0.01982, 0.00000, 0.99980)","(-0.02026, 0.14444, -0.02709, 0.98636)","(-0.02196, 0.25054, -0.03283, 0.96463)","(-0.00622, 0.11891, -0.02112, 0.99010)","(-0.00594, 0.14294, 0.01779, 0.98698)","(-0.02181, 0.18095, 0.02495, 0.98033)","(0.00692, -0.10368, -0.01655, 0.99190)",
"(0.03261, 0.03475, -0.01724, 0.99618)","(0.09517, -0.04669, -0.06587, 0.98962)","(-0.23124, 0.02201, 0.00106, 0.97265)","(-0.06440, 0.65254, -0.10308, 0.74365)","(-0.29231, 0.80086, -0.10474, 0.50219)","(0.49553, -0.72291, -0.43670, -0.18592)","(0.00000, 0.01982, 0.00000, 0.99980)","(0.14507, -0.65207, -0.38672, 0.62978)","(-0.25020, -0.82681, -0.28666, 0.40717)","(-0.34785, -0.71794, -0.50000, 0.32703)","(0.00000, 0.01982, 0.00000, 0.99980)","(-0.02024, 0.14464, -0.02709, 0.98633)","(-0.02197, 0.25075, -0.03277, 0.96457)","(-0.00621, 0.11894, -0.02111, 0.99010)","(-0.00590, 0.14293, 0.01778, 0.98698)","(-0.02176, 0.18098, 0.02488, 0.98033)","(0.00691, -0.10375, -0.01656, 0.99189)",
"(0.03245, 0.03487, -0.01726, 0.99618)","(0.09515, -0.04672, -0.06600, 0.98961)","(-0.23115, 0.02248, 0.00123, 0.97266)","(-0.06399, 0.65258, -0.10337, 0.74362)","(-0.29251, 0.80083, -0.10460, 0.50216)","(0.49556, -0.72293, -0.43665, -0.18591)","(0.00000, 0.01982, 0.00000, 0.99980)","(0.14487, -0.65225, -0.38708, 0.62941)","(-0.25043, -0.82689, -0.28658, 0.40694)","(-0.34787, -0.71804, -0.49986, 0.32701)","(0.00000, 0.01982, 0.00000, 0.99980)","(-0.02021, 0.14444, -0.02708, 0.98636)","(-0.02206, 0.25088, -0.03270, 0.96454)","(-0.00620, 0.11898, -0.02111, 0.99009)","(-0.00588, 0.14322, 0.01773, 0.98694)","(-0.02192, 0.18133, 0.02500, 0.98026)","(0.00691, -0.10382, -0.01658, 0.99188)",
